epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,107.254,1.97715,3.53066,2.12489,0.01711,2.34592,0.69809,0.51168,0.52164,0.18198,0.28247,0.19985,0.12153,0.03169,2.47669,3.77727,1.99273,0.02903,0,0.00033175,0.00033175,0.00033175
29,110.843,2.08796,3.72965,2.44449,0.01769,2.70317,0.75122,0.47229,0.52532,0.18152,0.23384,0.20183,0.12162,0.0281,2.49501,3.76564,1.98782,0.02932,0,0.000307,0.000307,0.000307
30,114.437,1.99041,3.5917,2.18284,0.01599,2.41085,0.76432,0.46374,0.52475,0.17899,0.24693,0.22437,0.1169,0.02551,2.48434,3.8003,2.0376,0.02905,0,0.00028225,0.00028225,0.00028225
31,117.862,2.08465,3.38529,2.22061,0.02508,2.31764,0.80277,0.45462,0.5301,0.18186,0.31563,0.18992,0.11243,0.0216,2.49524,3.8153,2.03588,0.0292,0,0.0002575,0.0002575,0.0002575
32,121.13,2.00832,3.41067,2.30929,0.02539,2.37064,0.77656,0.45433,0.53222,0.17796,0.21737,0.19652,0.09931,0.02207,2.53336,3.81292,1.96781,0.02958,0,0.00023275,0.00023275,0.00023275
33,124.417,1.9843,3.3103,2.08187,0.02343,2.28399,0.65994,0.49979,0.53414,0.17601,0.17744,0.17545,0.0896,0.02318,2.51893,3.79625,1.9762,0.02949,0,0.000208,0.000208,0.000208
34,127.732,1.98116,3.34814,2.05263,0.02334,2.24623,0.65754,0.50016,0.52953,0.17904,0.18146,0.18326,0.09335,0.02478,2.5137,3.79276,1.97229,0.02966,0,0.00018325,0.00018325,0.00018325
35,131.013,1.9969,3.37056,2.11802,0.02355,2.27057,0.72879,0.44917,0.50031,0.17512,0.19215,0.18627,0.10591,0.02794,2.49519,3.79755,1.97695,0.02947,0,0.0001585,0.0001585,0.0001585
36,134.308,1.98268,3.30886,2.07242,0.02365,2.27216,0.75816,0.44543,0.50296,0.17335,0.19304,0.18627,0.10851,0.02908,2.50103,3.80163,1.96057,0.0295,0,0.00013375,0.00013375,0.00013375
37,137.602,2.1024,3.40063,2.19128,0.02716,2.36306,0.64999,0.494,0.50293,0.1732,0.19675,0.18627,0.11034,0.02826,2.47165,3.79825,1.971,0.0291,0,0.000109,0.000109,0.000109
38,140.913,1.99174,3.33109,2.07111,0.02403,2.29377,0.65043,0.49407,0.50443,0.17682,0.21104,0.1991,0.12164,0.02946,2.46333,3.80261,1.97059,0.02897,0,8.425e-05,8.425e-05,8.425e-05
39,144.205,1.94429,3.33903,2.107,0.02343,2.26377,0.65027,0.492,0.50518,0.17592,0.22459,0.21192,0.12962,0.02958,2.45647,3.80353,1.96692,0.0289,0,5.95e-05,5.95e-05,5.95e-05
40,147.5,2.03249,3.37706,2.12933,0.02427,2.29146,0.64627,0.49007,0.50547,0.176,0.20571,0.1991,0.11765,0.0286,2.45152,3.80057,1.96554,0.02885,0,3.475e-05,3.475e-05,3.475e-05
